Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism (taxon_label)	Type	Source	Synonyms
4930432M17Rik	RIKEN cDNA 4930432M17 gene	Mus musculus	protein_coding_gene	MGI	
Gm15987	predicted gene 15987	Mus musculus	lncRNA_gene	MGI	
Gm14525	predicted gene 14525	Mus musculus	protein_coding_gene	MGI	
Gm16091	predicted gene 16091	Mus musculus	lncRNA_gene	MGI	
H3f3aos	H3.3 histone A, opposite strand	Mus musculus	gene_product	MGI	Gm16067
Zfp820	zinc finger protein 820	Mus musculus	protein_coding_gene	MGI	2610036F08Rik
Gm15966	predicted gene 15966	Mus musculus	lncRNA_gene	MGI	
Gm15964	predicted gene 15964	Mus musculus	lncRNA_gene	MGI	
Gm15965	predicted gene 15965	Mus musculus	lncRNA_gene	MGI	
Gm16124	predicted gene 16124	Mus musculus	lncRNA_gene	MGI	
Capn8	calpain 8	Mus musculus	protein_coding_gene	MGI	nCL-2|nCL-2'
Prokr2	prokineticin receptor 2	Mus musculus	protein_coding_gene	MGI	B830005M06Rik|EG-VEGRF2|Gpcr73l1|Gpr73l1|PKR2
9530059O14Rik	RIKEN cDNA 9530059O14 gene	Mus musculus	lncRNA_gene	MGI	
Gm2396	predicted gene 2396	Mus musculus	protein_coding_gene	MGI	
Lzts3	leucine zipper, putative tumor suppressor family member 3	Mus musculus	protein_coding_gene	MGI	Prosapip1
Klf8	Kruppel-like factor 8	Mus musculus	protein_coding_gene	MGI	A830097P10Rik|BKLF3|ZNF74
Mthfsl	5, 10-methenyltetrahydrofolate synthetase-like	Mus musculus	protein_coding_gene	MGI	Gm2382
Efcab5	EF-hand calcium binding domain 5	Mus musculus	protein_coding_gene	MGI	4930563A03Rik
Gm2381	predicted gene 2381	Mus musculus	protein_coding_gene	MGI	
Ighg3	Immunoglobulin heavy constant gamma 3	Mus musculus	gene_segment	MGI	AI324046|IgG3
Gm10062	predicted gene 10062	Mus musculus	lncRNA_gene	MGI	
Lncenc1	long non-coding RNA, embryonic stem cells expressed 1	Mus musculus	lncRNA_gene	MGI	Gm11019|Gm2373|Platr18|Lincenc1|linc-Enc1
Gm12737	predicted gene 12737	Mus musculus	lncRNA_gene	MGI	
Snora16a	small nucleolar RNA, H/ACA box 16A	Mus musculus	snoRNA_gene	MGI	
Gm2366	predicted gene 2366	Mus musculus	lncRNA_gene	MGI	
Papln	papilin, proteoglycan-like sulfated glycoprotein	Mus musculus	protein_coding_gene	MGI	E030033C16Rik
Gm16527	predicted gene, 16527	Mus musculus	protein_coding_gene	MGI	
Arhgef17	Rho guanine nucleotide exchange factor (GEF) 17	Mus musculus	protein_coding_gene	MGI	
B430010I23Rik	RIKEN cDNA B430010I23 gene	Mus musculus	lncRNA_gene	MGI	
B230219J02Rik	RIKEN cDNA B230219J02 gene	Mus musculus	lncRNA_gene	MGI	
Prima1	proline rich membrane anchor 1	Mus musculus	protein_coding_gene	MGI	B230212M13Rik
B230206I08Rik	RIKEN cDNA B230206I08 gene	Mus musculus	lncRNA_gene	MGI	
B230207M22Rik	RIKEN cDNA B230207M22 gene	Mus musculus	lncRNA_gene	MGI	
E130215H24Rik	RIKEN cDNA E130215H24 gene	Mus musculus	lncRNA_gene	MGI	
C330020G15Rik	RIKEN cDNA C330020G15 gene	Mus musculus	lncRNA_gene	MGI	
Tns3	tensin 3	Mus musculus	protein_coding_gene	MGI	F830010I22Rik|TEM6|Tens1
Gm13789	predicted gene 13789	Mus musculus	ncRNA_gene	MGI	
Ino80c	INO80 complex subunit C	Mus musculus	protein_coding_gene	MGI	D030070L09Rik
Slc25a47	solute carrier family 25, member 47	Mus musculus	protein_coding_gene	MGI	
Pld4	phospholipase D family, member 4	Mus musculus	protein_coding_gene	MGI	thss
Gm2347	predicted gene 2347	Mus musculus	protein_coding_gene	MGI	
Slc5a10	solute carrier family 5 (sodium/glucose cotransporter), member 10	Mus musculus	protein_coding_gene	MGI	C330021F16Rik|SGLT5
Zfp623	zinc finger protein 623	Mus musculus	protein_coding_gene	MGI	2610029D06Rik
Gins3	GINS complex subunit 3 (Psf3 homolog)	Mus musculus	protein_coding_gene	MGI	2700085M18Rik
Cacul1	CDK2 associated, cullin domain 1	Mus musculus	protein_coding_gene	MGI	2700078E11Rik|2810417M16Rik|9830127L17Rik|D130033C15Rik
Ncln	nicalin	Mus musculus	protein_coding_gene	MGI	3100002P13Rik
Slc25a12	solute carrier family 25 (mitochondrial carrier, Aralar), member 12	Mus musculus	protein_coding_gene	MGI	B230107K20Rik
6430537I21Rik	RIKEN cDNA 6430537I21 gene	Mus musculus	lncRNA_gene	MGI	
Ankmy2	ankyrin repeat and MYND domain containing 2	Mus musculus	protein_coding_gene	MGI	
Spacdr	sperm acrosome developmental regulator	Mus musculus	protein_coding_gene	MGI	0610009M14Rik|1700023B23Rik|Thg-1pit|Tsc22d4
Rhot1	ras homolog family member T1	Mus musculus	protein_coding_gene	MGI	2210403N23Rik|Arht1|C430039G08Rik|FLJ11040|Miro1
5830426C09Rik	RIKEN cDNA 5830426C09 gene	Mus musculus	lncRNA_gene	MGI	
P2ry10	purinergic receptor P2Y, G-protein coupled 10	Mus musculus	protein_coding_gene	MGI	5830408N17Rik|P2Y10
Tcf24	transcription factor 24	Mus musculus	protein_coding_gene	MGI	
Ubash3a	ubiquitin associated and SH3 domain containing, A	Mus musculus	protein_coding_gene	MGI	5830413C03Rik|Sts-2|TULA
0610009E02Rik	RIKEN cDNA 0610009E02 gene	Mus musculus	lncRNA_gene	MGI	
A330040F15Rik	RIKEN cDNA A330040F15 gene	Mus musculus	lncRNA_gene	MGI	
Uqcc6	ubiquinol-cytochrome c reductase complex assembly factor 6	Mus musculus	protein_coding_gene	MGI	1190007I07Rik
Notumos	notum palmitoleoyl-protein carboxylesterase, opposite strand	Mus musculus	gene_product	MGI	4732444A12Rik
Gpatch3	G patch domain containing 3	Mus musculus	protein_coding_gene	MGI	D930035B09Rik|Gpatc3
Gm8220	predicted gene 8220	Mus musculus	protein_coding_gene	MGI	
Gm6634	predicted gene 6634	Mus musculus	lncRNA_gene	MGI	
5830407P18Rik	RIKEN cDNA 5830407P18 gene	Mus musculus	lncRNA_gene	MGI	
4930588G05Rik	RIKEN cDNA 4930588G05 gene	Mus musculus	lncRNA_gene	MGI	
Gmip	Gem-interacting protein	Mus musculus	protein_coding_gene	MGI	5031419I10Rik
Nckap1l	NCK associated protein 1 like	Mus musculus	protein_coding_gene	MGI	4930568P13Rik|Hem1
4930570E03Rik	RIKEN cDNA 4930570E03 gene	Mus musculus	lncRNA_gene	MGI	
A630074N13Rik	RIKEN cDNA A630074N13 gene	Mus musculus	lncRNA_gene	MGI	
Tedc1	tubulin epsilon and delta complex 1	Mus musculus	protein_coding_gene	MGI	4930427A07Rik
4930562C15Rik	RIKEN cDNA 4930562C15 gene	Mus musculus	protein_coding_gene	MGI	
Stxbp5	syntaxin binding protein 5 (tomosyn)	Mus musculus	protein_coding_gene	MGI	0710001E20Rik|4930565N16Rik|LGL3|tomosyn 1
4930544L04Rik	RIKEN cDNA 4930544L04 gene	Mus musculus	lncRNA_gene	MGI	
Stpg1	sperm tail PG rich repeat containing 1	Mus musculus	protein_coding_gene	MGI	4930403G18Rik|4930555I21Rik
4930545L23Rik	RIKEN cDNA 4930545L23 gene	Mus musculus	lncRNA_gene	MGI	
Ifit3b	interferon-induced protein with tetratricopeptide repeats 3B	Mus musculus	protein_coding_gene	MGI	I830012O16Rik
Ttc30a1	tetratricopeptide repeat domain 30A1	Mus musculus	protein_coding_gene	MGI	4930506L13Rik
Ak7	adenylate kinase 7	Mus musculus	protein_coding_gene	MGI	4930502N02Rik
4930480K15Rik	RIKEN cDNA 4930480K15 gene	Mus musculus	lncRNA_gene	MGI	
Ddx1	DEAD box helicase 1	Mus musculus	protein_coding_gene	MGI	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1
Tmem11	transmembrane protein 11	Mus musculus	protein_coding_gene	MGI	5730466P16Rik
Ttc7b	tetratricopeptide repeat domain 7B	Mus musculus	protein_coding_gene	MGI	Ttc7l1
Eml4	echinoderm microtubule associated protein like 4	Mus musculus	protein_coding_gene	MGI	4930443C24Rik
Ndor1	NADPH dependent diflavin oxidoreductase 1	Mus musculus	protein_coding_gene	MGI	4930447P04Rik|NR1
Zcchc4	zinc finger, CCHC domain containing 4	Mus musculus	protein_coding_gene	MGI	4930449I23Rik
Armc9	armadillo repeat containing 9	Mus musculus	protein_coding_gene	MGI	3830422A13Rik|4831423D23Rik|4930438O05Rik|5730415N24Rik
4930402H05Rik	RIKEN cDNA 4930402H05 gene	Mus musculus	lncRNA_gene	MGI	
4930432F04Rik	RIKEN cDNA 4930432F04 gene	Mus musculus	lncRNA_gene	MGI	
4930414F18Rik	RIKEN cDNA 4930414F18 gene	Mus musculus	lncRNA_gene	MGI	
Serpinb3d	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 3D	Mus musculus	protein_coding_gene	MGI	
Serpinb3b	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 3B	Mus musculus	protein_coding_gene	MGI	Scca2-rs
Vsig1	V-set and immunoglobulin domain containing 1	Mus musculus	protein_coding_gene	MGI	1700062D20Rik|4930405J24Rik
4930421C12Rik	RIKEN cDNA 4930421C12 gene	Mus musculus	lncRNA_gene	MGI	
Usp54	ubiquitin specific peptidase 54	Mus musculus	protein_coding_gene	MGI	4930429G18Rik|C030002J06Rik
4833439F03Rik	RIKEN cDNA 4833439F03 gene	Mus musculus	lncRNA_gene	MGI	
Celf3	CUGBP, Elav-like family member 3	Mus musculus	protein_coding_gene	MGI	4930415M08Rik|BRUNOL1|CAGH4|ERDA4|Tnrc4
Brpf1	bromodomain and PHD finger containing, 1	Mus musculus	protein_coding_gene	MGI	4833438B11Rik|4930540D11Rik
4833432E10Rik	RIKEN cDNA 4833432E10 gene	Mus musculus	lncRNA_gene	MGI	
Zc3hav1	zinc finger CCCH type, antiviral 1	Mus musculus	protein_coding_gene	MGI	1200014N16Rik|2900058M19Rik|9130009D18Rik|9830115L13Rik|ZAP
Ifnk	interferon kappa	Mus musculus	protein_coding_gene	MGI	
Tomm40l	translocase of outer mitochondrial membrane 40-like	Mus musculus	protein_coding_gene	MGI	
D930048N14Rik	RIKEN cDNA D930048N14 gene	Mus musculus	protein_coding_gene	MGI	
Spopfm1	speckle-type BTB/POZ protein family member 1	Mus musculus	protein_coding_gene	MGI	Gm4778
Spata2l	spermatogenesis associated 2-like	Mus musculus	protein_coding_gene	MGI	2610039E05Rik
Tepsin	TEPSIN, adaptor related protein complex 4 accessory protein	Mus musculus	protein_coding_gene	MGI	2410002I01Rik|Enthd2
Cfap61	cilia and flagella associated protein 61	Mus musculus	protein_coding_gene	MGI	4930529M08Rik
4930511E03Rik	RIKEN cDNA 4930511E03 gene	Mus musculus	lncRNA_gene	MGI	
Hhipl2	hedgehog interacting protein-like 2	Mus musculus	protein_coding_gene	MGI	4930507C10Rik
Mctp1	multiple C2 domains, transmembrane 1	Mus musculus	protein_coding_gene	MGI	2810465F10Rik
Arl14ep	ADP-ribosylation factor-like 14 effector protein	Mus musculus	protein_coding_gene	MGI	2700007P21Rik|4930448O08Rik
2700018L05Rik	RIKEN cDNA 2700018L05 gene	Mus musculus	lncRNA_gene	MGI	
Efcab11	EF-hand calcium binding domain 11	Mus musculus	protein_coding_gene	MGI	2610021K21Rik|2610110A13Rik
Fbxo22	F-box protein 22	Mus musculus	protein_coding_gene	MGI	1600016C16Rik|0610033L19Rik
4933424L21Rik	RIKEN cDNA 4933424L21 gene	Mus musculus	lncRNA_gene	MGI	
4921518K17Rik	RIKEN cDNA 4921518K17 gene	Mus musculus	lncRNA_gene	MGI	
Rictor	RPTOR independent companion of MTOR, complex 2	Mus musculus	protein_coding_gene	MGI	4921505C17Rik|6030405M08Rik|D530039E11Rik
Cpxm2	carboxypeptidase X 2 (M14 family)	Mus musculus	protein_coding_gene	MGI	4632435C11Rik
Fam122b	family with sequence similarity 122, member B	Mus musculus	protein_coding_gene	MGI	4632404H22Rik
Galnt15	polypeptide N-acetylgalactosaminyltransferase 15	Mus musculus	protein_coding_gene	MGI	4631401E18Rik|Galntl2
Lipm	lipase, family member M	Mus musculus	protein_coding_gene	MGI	4632427C23Rik|Lipl3
Csgalnact2	chondroitin sulfate N-acetylgalactosaminyltransferase 2	Mus musculus	protein_coding_gene	MGI	4632415D10Rik|Galnact2
Zc3h6	zinc finger CCCH type containing 6	Mus musculus	protein_coding_gene	MGI	4631426G04Rik|4833425H18Rik
C230069I12Rik	RIKEN cDNA C230069I12 gene	Mus musculus	lncRNA_gene	MGI	
Zfp951	zinc finger protein 951	Mus musculus	protein_coding_gene	MGI	C230055K05Rik|Gm38611
C230053D17Rik	RIKEN cDNA C230053D17 gene	Mus musculus	lncRNA_gene	MGI	
C230047L17Rik	RIKEN cDNA C230047L17 gene	Mus musculus	lncRNA_gene	MGI	
C230034O21Rik	RIKEN cDNA C230034O21 gene	Mus musculus	lncRNA_gene	MGI	
C230007H23Rik	RIKEN cDNA C230007H23 gene	Mus musculus	lncRNA_gene	MGI	
Gpr21	G protein-coupled receptor 21	Mus musculus	protein_coding_gene	MGI	C230004C13Rik
Gpr151	G protein-coupled receptor 151	Mus musculus	protein_coding_gene	MGI	C130082O03Rik|GalRL|PGR7
Mrgpre	MAS-related GPR, member E	Mus musculus	protein_coding_gene	MGI	C130069N09Rik|MrgE
C130063H03Rik	RIKEN cDNA C130063H03 gene	Mus musculus	lncRNA_gene	MGI	
Qrfprl	pyroglutamylated RFamide peptide receptor like	Mus musculus	protein_coding_gene	MGI	C130060K24Rik
Rhox3f	reproductive homeobox 3F	Mus musculus	protein_coding_gene	MGI	OTTMUSG00000017155
Rhox2f	reproductive homeobox 2F	Mus musculus	protein_coding_gene	MGI	Rhox2.6|EG434764
Rhox3e	reproductive homeobox 3E	Mus musculus	protein_coding_gene	MGI	OTTMUSG00000017148
Rhox2e	reproductive homeobox 2E	Mus musculus	protein_coding_gene	MGI	ENSMUSG00000063709|OTTMUSG00000017141
C130036L24Rik	RIKEN cDNA C130036L24 gene	Mus musculus	lncRNA_gene	MGI	
Pask	PAS domain containing serine/threonine kinase	Mus musculus	protein_coding_gene	MGI	Paskin
C030017G13Rik	RIKEN cDNA C030017G13 gene	Mus musculus	lncRNA_gene	MGI	
C030012N03Rik	RIKEN cDNA C030012N03 gene	Mus musculus	lncRNA_gene	MGI	
Gpr150	G protein-coupled receptor 150	Mus musculus	protein_coding_gene	MGI	C030001A19Rik|PGR11
B930086H10Rik	RIKEN cDNA B930086H10 gene	Mus musculus	lncRNA_gene	MGI	
Rhox3c	reproductive homeobox 3C	Mus musculus	protein_coding_gene	MGI	EG665203
Rhox2c	reproductive homeobox 2C	Mus musculus	protein_coding_gene	MGI	Rhox2,3|OTTMUSG00000017149
Rhox2b	reproductive homeobox 2B	Mus musculus	protein_coding_gene	MGI	Rhox2.2
Arhgef11	Rho guanine nucleotide exchange factor (GEF) 11	Mus musculus	protein_coding_gene	MGI	PDZ-RhoGEF|Prg
B930063I24Rik	RIKEN cDNA B930063I24 gene	Mus musculus	lncRNA_gene	MGI	
B930046C15Rik	RIKEN cDNA B930046C15 gene	Mus musculus	lncRNA_gene	MGI	
B930032C10Rik	RIKEN cDNA B930032C10 gene	Mus musculus	lncRNA_gene	MGI	
Ranbp6	RAN binding protein 6	Mus musculus	protein_coding_gene	MGI	
B430119L08Rik	RIKEN cDNA B430119L08 gene	Mus musculus	lncRNA_gene	MGI	
Sf3b2	splicing factor 3b, subunit 2	Mus musculus	protein_coding_gene	MGI	145kDa|2610311M13Rik|2810441F20Rik|B230398H18Rik|SAP145|SF3b1|SF3b145|SF3b150
Atosb	atos homolog B	Mus musculus	protein_coding_gene	MGI	B230312A22Rik|Fam214b
B230220N19Rik	RIKEN cDNA B230220N19 gene	Mus musculus	lncRNA_gene	MGI	
B230219N05Rik	RIKEN cDNA B230219N05 gene	Mus musculus	lncRNA_gene	MGI	
Map3k15	mitogen-activated protein kinase kinase kinase 15	Mus musculus	protein_coding_gene	MGI	
Ccdc153	coiled-coil domain containing 153	Mus musculus	protein_coding_gene	MGI	
Lrrc36	leucine rich repeat containing 36	Mus musculus	protein_coding_gene	MGI	
Myo3b	myosin IIIB	Mus musculus	protein_coding_gene	MGI	A430065P19Rik
Lpp	LIM domain containing preferred translocation partner in lipoma	Mus musculus	protein_coding_gene	MGI	9430020K16Rik|B130055L10Rik
Snhg11	small nucleolar RNA host gene 11	Mus musculus	protein_coding_gene	MGI	E130013N09Rik|A930034L06Rik
Tmem87a	transmembrane protein 87A	Mus musculus	protein_coding_gene	MGI	A930025J12Rik
Gpr75	G protein-coupled receptor 75	Mus musculus	protein_coding_gene	MGI	
Serinc4	serine incorporator 4	Mus musculus	protein_coding_gene	MGI	A930015D22Rik
Cdc42bpa	CDC42 binding protein kinase alpha	Mus musculus	protein_coding_gene	MGI	A930014J19Rik|DMPK-like
Zfp160	zinc finger protein 160	Mus musculus	protein_coding_gene	MGI	6720480D16Rik
Aldh7a1	aldehyde dehydrogenase family 7, member A1	Mus musculus	protein_coding_gene	MGI	Atq1|D18Wsu181e
Igkv2-112	immunoglobulin kappa variable 2-112	Mus musculus	gene_segment	MGI	
Carmil3	capping protein regulator and myosin 1 linker 3	Mus musculus	protein_coding_gene	MGI	Lrrc16b
Mrpl49	mitochondrial ribosomal protein L49	Mus musculus	protein_coding_gene	MGI	4833419D18Rik|Nof1
A930001C03Rik	RIKEN cDNA A930001C03 gene	Mus musculus	lncRNA_gene	MGI	
Adgrb3	adhesion G protein-coupled receptor B3	Mus musculus	protein_coding_gene	MGI	A830096D10Rik|Bai3
A830092I05Rik	RIKEN cDNA A830092I05 gene	Mus musculus	lncRNA_gene	MGI	
A830037D11Rik	RIKEN cDNA A830037D11 gene	Mus musculus	lncRNA_gene	MGI	
A830012C17Rik	RIKEN cDNA A830012C17 gene	Mus musculus	lncRNA_gene	MGI	
Lactbl1	lactamase, beta-like 1	Mus musculus	protein_coding_gene	MGI	
Rasef	RAS and EF hand domain containing	Mus musculus	protein_coding_gene	MGI	RAB45
Prkg1	protein kinase, cGMP-dependent, type I	Mus musculus	protein_coding_gene	MGI	Prkg1b|Prkgr1b
Prkg2	protein kinase, cGMP-dependent, type II	Mus musculus	protein_coding_gene	MGI	cGK-II|Prkgr2
Adnp2	ADNP homeobox 2	Mus musculus	protein_coding_gene	MGI	8430420L05Rik|Zfp508
Ythdc2	YTH domain containing 2	Mus musculus	protein_coding_gene	MGI	3010002F02Rik
Gm7550	predicted gene 7550	Mus musculus	lncRNA_gene	MGI	
Ripk3	receptor-interacting serine-threonine kinase 3	Mus musculus	protein_coding_gene	MGI	2610528K09Rik|Rip3
A730099G02Rik	RIKEN cDNA A730099G02 gene	Mus musculus	lncRNA_gene	MGI	
Rxfp3	relaxin family peptide receptor 3	Mus musculus	protein_coding_gene	MGI	Rln3r1|Salpr
A730087J23Rik	RIKEN cDNA A730087J23 gene	Mus musculus	lncRNA_gene	MGI	
A730081D07Rik	RIKEN cDNA A730081D07 gene	Mus musculus	lncRNA_gene	MGI	
A730052K04Rik	RIKEN cDNA A730052K04 gene	Mus musculus	lncRNA_gene	MGI	
A730043B01Rik	RIKEN cDNA A730043B01 gene	Mus musculus	lncRNA_gene	MGI	
Trav7n-4	T cell receptor alpha variable 7N-4	Mus musculus	gene_segment	MGI	
Gnl3l	guanine nucleotide binding protein-like 3 (nucleolar)-like	Mus musculus	protein_coding_gene	MGI	
Stard8	START domain containing 8	Mus musculus	protein_coding_gene	MGI	
H2ab3	H2A.B variant histone 3	Mus musculus	protein_coding_gene	MGI	EG624957|H2A.Bbd3|H2afb3|H2afb3-ps
Nbeal2	neurobeachin-like 2	Mus musculus	protein_coding_gene	MGI	1110014F23Rik
Krt77	keratin 77	Mus musculus	protein_coding_gene	MGI	4732484G22Rik
A630075K04Rik	RIKEN cDNA A630075K04 gene	Mus musculus	lncRNA_gene	MGI	
Hmgxb3	HMG box domain containing 3	Mus musculus	protein_coding_gene	MGI	2510002C16Rik|A630042L21Rik
A630033J11Rik	RIKEN cDNA A630033J11 gene	Mus musculus	lncRNA_gene	MGI	
P2ry10b	purinergic receptor P2Y, G-protein coupled 10B	Mus musculus	protein_coding_gene	MGI	A630033H20Rik
Ldlrad2	low density lipoprotein receptor class A domain containing 2	Mus musculus	protein_coding_gene	MGI	
Cdk10	cyclin-dependent kinase 10	Mus musculus	protein_coding_gene	MGI	
Erich6	glutamate rich 6	Mus musculus	protein_coding_gene	MGI	4932431H17Rik|Fam194a
Ces2b	carboxyesterase 2B	Mus musculus	protein_coding_gene	MGI	
n-TVcac7	nuclear encoded tRNA valine 7 (anticodon CAC)	Mus musculus	tRNA_gene	MGI	
Samd4b	sterile alpha motif domain containing 4B	Mus musculus	protein_coding_gene	MGI	
Caprin2	caprin family member 2	Mus musculus	protein_coding_gene	MGI	C1qdc1|Eeg1|RNG140
BC035044	cDNA sequence BC035044	Mus musculus	protein_coding_gene	MGI	
Gpr141b	G protein-coupled receptor 141B	Mus musculus	protein_coding_gene	MGI	A530099J19Rik|Karma
Cdc14b	CDC14 cell division cycle 14B	Mus musculus	protein_coding_gene	MGI	2810432N10Rik|A530086E13Rik
Lgr6	leucine-rich repeat-containing G protein-coupled receptor 6	Mus musculus	protein_coding_gene	MGI	A530037C04Rik
Gpr20	G protein-coupled receptor 20	Mus musculus	protein_coding_gene	MGI	A430106B11Rik
A430091L06Rik	RIKEN cDNA A430091L06 gene	Mus musculus	lncRNA_gene	MGI	
A430087P03Rik	RIKEN cDNA A430087P03 gene	Mus musculus	lncRNA_gene	MGI	
Zfp637	zinc finger protein 637	Mus musculus	protein_coding_gene	MGI	
Pdap1	PDGFA associated protein 1	Mus musculus	protein_coding_gene	MGI	HASPP28|PAP1
Ccdc160	coiled-coil domain containing 160	Mus musculus	protein_coding_gene	MGI	6330534C20Rik
B020031M17Rik	RIKEN cDNA B020031M17 gene	Mus musculus	protein_coding_gene	MGI	
Vsig10	V-set and immunoglobulin domain containing 10	Mus musculus	protein_coding_gene	MGI	
Cox18	cytochrome c oxidase assembly protein 18	Mus musculus	protein_coding_gene	MGI	
9230009I02Rik	RIKEN cDNA 9230009I02 gene	Mus musculus	lncRNA_gene	MGI	
Vps13d	vacuolar protein sorting 13D	Mus musculus	protein_coding_gene	MGI	
Prdm13	PR domain containing 13	Mus musculus	protein_coding_gene	MGI	
Gmps	guanine monophosphate synthetase	Mus musculus	protein_coding_gene	MGI	Gm9479
Npepl1	aminopeptidase-like 1	Mus musculus	protein_coding_gene	MGI	
Ccdc194	coiled-coil domain containing 194	Mus musculus	protein_coding_gene	MGI	C430049E01Rik
Pip5kl1	phosphatidylinositol-4-phosphate 5-kinase-like 1	Mus musculus	protein_coding_gene	MGI	
Atp8a1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	Mus musculus	protein_coding_gene	MGI	Atp3a2|B230107D19Rik
Cryzl2	crystallin zeta like 2	Mus musculus	protein_coding_gene	MGI	BC026585|quinone reductase-like 2
Tmem253	transmembrane protein 253	Mus musculus	protein_coding_gene	MGI	G630016D24Rik
Gm6993	predicted gene 6993	Mus musculus	protein_coding_gene	MGI	
Nat8b-ps	N-acetyltransferase 8B, pseudogene	Mus musculus	pseudogene	MGI	Nat8b
Tsx	testis specific X-linked gene	Mus musculus	protein_coding_gene	MGI	
Emd	emerin	Mus musculus	protein_coding_gene	MGI	
Pi4ka	phosphatidylinositol 4-kinase alpha	Mus musculus	protein_coding_gene	MGI	Pik4ca
Slc12a3	solute carrier family 12, member 3	Mus musculus	protein_coding_gene	MGI	NCC|TSC
Ube2d4	ubiquitin-conjugating enzyme E2D 4	Mus musculus	protein_coding_gene	MGI	
Mir500	microRNA 500	Mus musculus	miRNA_gene	MGI	mmu-mir-500|mir 500|Mirn500
Pip4p1	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1	Mus musculus	protein_coding_gene	MGI	Tmem55b
Sparcl1	SPARC-like 1	Mus musculus	protein_coding_gene	MGI	Ecm2|hevin|mast9|Sc1
Ywhag	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide	Mus musculus	protein_coding_gene	MGI	14-3-3 gamma|D7Bwg1348e
Snrk	SNF related kinase	Mus musculus	protein_coding_gene	MGI	2010012F07Rik
Tcra-V2.7	T cell receptor alpha, variable-2.7	Mus musculus	gene_segment	MGI	
Ddn	dendrin	Mus musculus	protein_coding_gene	MGI	LOC328602
Dvl3	dishevelled segment polarity protein 3	Mus musculus	protein_coding_gene	MGI	b2b2866Clo
4930527B05Rik	RIKEN cDNA 4930527B05 gene	Mus musculus	lncRNA_gene	MGI	
A730065G17Rik	RIKEN cDNA A730065G17 gene	Mus musculus	lncRNA_gene	MGI	
G730013B05Rik	RIKEN cDNA G730013B05 gene	Mus musculus	lncRNA_gene	MGI	
I730028E13Rik	RIKEN cDNA I730028E13 gene	Mus musculus	lncRNA_gene	MGI	
I730030J21Rik	RIKEN cDNA I730030J21 gene	Mus musculus	lncRNA_gene	MGI	
F930026P19Rik	RIKEN cDNA F930026P19 gene	Mus musculus	lncRNA_gene	MGI	
Gm2310	predicted gene 2310	Mus musculus	lncRNA_gene	MGI	
Gm2309	predicted gene 2309	Mus musculus	lncRNA_gene	MGI	
4930596D02Rik	RIKEN cDNA 4930596D02 gene	Mus musculus	protein_coding_gene	MGI	
Tbx3os1	T-box 3, opposite strand 1	Mus musculus	gene_product	MGI	Gm2301
B430219N15Rik	RIKEN cDNA B430219N15 gene	Mus musculus	lncRNA_gene	MGI	
